날짜,지역,기온,습도,강수량,날씨
2024-01-01,서울,2.3,65,0,맑음
2024-01-01,부산,8.1,72,0,구름많음
2024-01-01,대구,1.8,58,0,맑음
2024-01-01,인천,3.2,70,0,구름많음
2024-01-02,서울,-1.5,45,0,맑음
2024-01-02,부산,6.7,68,2.3,비
2024-01-02,대구,-0.8,52,0,맑음
2024-01-02,인천,0.9,63,0,구름많음
2024-01-03,서울,4.2,78,5.2,비
2024-01-03,부산,11.3,85,8.7,비
2024-01-03,대구,3.1,71,3.1,비
2024-01-03,인천,3.8,82,4.6,비
2024-01-04,서울,0.7,55,0,구름많음
2024-01-04,부산,9.2,74,0,구름많음
2024-01-04,대구,1.2,61,0,구름많음
2024-01-04,인천,2.1,68,0,구름많음
2024-01-05,서울,3.8,62,0,맑음
2024-01-05,부산,10.5,69,0,맑음
2024-01-05,대구,2.9,56,0,맑음
2024-01-05,인천,4.1,65,0,맑음
